2 100
1 64.22 98.40
0 61.64 97.87
1 62.87 95.59
1 58.47 102.02
0 61.80 100.46
1 63.39 95.06
1 63.71 101.08
0 63.78 98.77
1 59.53 100.70
1 66.87 97.05
1 67.20 98.60
1 65.38 97.57
0 65.57 99.81
1 64.46 98.56
1 63.17 97.25
1 65.19 99.70
1 64.19 96.53
1 62.43 100.43
1 66.79 101.73
1 65.77 97.90
1 64.30 99.59
0 60.95 99.09
0 62.99 97.75
0 64.60 99.53
0 63.51 98.75
1 64.51 103.25
1 66.81 98.78
1 68.49 95.55
0 66.23 97.63
1 66.14 100.39
1 63.56 99.06
1 61.87 99.18
1 63.66 101.02
0 67.66 93.74
1 64.21 96.44
1 66.54 95.28
1 62.81 100.59
1 62.37 98.50
0 62.49 96.81
1 63.13 95.41
1 66.66 97.64
1 59.73 99.64
1 64.74 98.36
1 62.55 102.62
1 67.99 99.27
1 62.37 102.05
1 63.15 96.49
0 62.97 100.59
1 66.49 101.26
1 64.88 99.36
0 66.69 98.97
1 67.45 98.21
1 67.04 101.24
1 62.44 98.51
1 64.85 97.96
1 64.50 98.55
1 63.89 99.91
1 62.72 95.80
1 64.73 95.22
0 59.26 96.78
0 64.99 101.35
1 63.80 95.81
1 64.23 93.80
1 63.92 95.82
1 65.13 97.48
0 66.69 99.87
1 67.39 101.67
0 66.54 99.74
1 65.52 96.68
1 67.66 101.70
0 65.59 95.45
1 63.76 96.56
1 65.90 99.55
1 61.49 99.60
0 67.16 101.13
1 63.49 100.97
0 66.43 98.40
0 61.10 93.89
1 65.76 102.44
1 63.48 98.44
1 66.33 99.66
1 62.59 99.81
1 65.59 99.39
0 65.94 97.24
1 66.75 98.90
1 65.99 102.28
1 62.43 98.58
1 65.16 100.56
1 61.07 96.39
1 63.18 99.12
1 65.44 98.80
0 65.25 94.02
1 61.11 96.59
1 62.90 98.93
1 61.95 96.93
1 68.36 98.98
1 65.01 100.40
1 67.56 99.90
1 58.65 98.57
1 65.09 99.56
